"INSTANT","TAKES","QUESTION","ANSWER","ANSWER_TIME"
493691,25261,"From 1 to 10, how anxious do you feel?",3,21366
613951,18441,"From 1 to 10, how anxious do you feel?",5,12964
734261,16829,"From 1 to 10, how anxious do you feel?",7,12824
854434,14300,"From 1 to 10, how anxious do you feel?",7,11254
974780,13783,"From 1 to 10, how anxious do you feel?",6,9971
1095008,9490,"From 1 to 10, how anxious do you feel?",6,6606
1215204,11595,"From 1 to 10, how anxious do you feel?",5,8343
1335382,11552,"From 1 to 10, how anxious do you feel?",5,5777
1455571,17427,"From 1 to 10, how anxious do you feel?",4,12264
1575758,9196,"From 1 to 10, how anxious do you feel?",4,6532
1695954,9216,"From 1 to 10, how anxious do you feel?",3,4710
1816276,13692,"From 1 to 10, how anxious do you feel?",3,10089
